time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
2253,836454720,372910,11653.4,43.55,58.5,65.5,457.878,5,0
2263,840190053,372956,11654.9,43.55,58.5,65.5,461.31,5,0
2273,843922245,372651,11645.3,43.55,58.5,65.5,463.651,5,0
2283,847651653,372358,11636.2,43.55,58.5,65.5,477.847,5,0
2293,851383274,372559,11642.5,43.55,58.5,65.5,467.707,5,0
2303,855116225,372770,11649.1,43.55,58.5,65.5,450.858,5,0
2313,858851339,373446,11670.2,43.55,58.5,65.5,468.281,5,0
2323,862589756,373329,11666.5,43.55,58.5,65.5,461.778,5,0
2333,866320622,373022,11656.9,43.55,58.5,65.5,454.844,5,0
2343,870058471,373250,11664.1,43.55,58.5,65.5,465.367,5,0
2353,873801065,373651,11676.6,43.55,58.5,65.5,462.09,5,0
2363,877540944,373396,11668.6,43.55,58.5,65.5,472.231,5,0
2373,881276015,372922,11653.8,43.55,58.5,65.5,467.083,5,0
2383,885014285,373230,11663.4,43.55,58.5,65.5,465.055,5,0
2393,888752179,373203,11662.6,43.55,58.5,65.5,474.883,5,0
2403,892490864,373301,11665.7,43.55,58.5,65.5,461.31,5,0
2413,896230272,373379,11668.1,43.55,58.5,65.5,470.203,5,0
2423,899971591,373511,11672.2,43.55,58.5,65.5,463.807,5,0
2433,903698508,372103,11628.2,43.55,58.5,65.5,470.827,5,0
2443,907435907,373184,11662,43.55,58.5,65.5,462.715,5,0
2453,911174584,373280,11665,43.55,58.5,65.5,457.254,5,0
2463,914915999,373547,11673.3,43.55,58.5,65.5,461.466,5,0
2473,918656751,373485,11671.4,43.55,58.5,65.5,464.743,5,0
2483,922396976,373434,11669.8,43.55,58.5,65.5,466.615,5,0
2493,926143419,374085,11690.2,43.55,58.5,65.5,458.814,5,0
2503,929887414,373823,11682,43.55,58.5,65.5,456.942,5,0
2513,933631156,373765,11680.2,43.45,58.5,65.5,475.039,5,0
2523,937376308,373937,11685.5,43.45,58.5,65.5,465.367,5,0
2533,941118327,373619,11675.6,43.45,58.5,65.5,460.218,5,0
2543,944858466,373422,11669.4,43.45,58.5,65.5,461.31,5,0
2553,948599296,373496,11671.7,43.45,58.5,65.5,460.218,5,0
2563,952345039,374013,11687.9,43.45,58.5,65.5,455.694,5,0
2573,956088432,373763,11680.1,43.45,58.5,65.5,457.098,5,0
2583,959834089,373963,11686.3,43.45,58.5,65.5,470.827,5,0
2593,963578528,373881,11683.8,43.45,58.5,65.5,461.934,5,0
2603,967324438,374008,11687.7,43.45,58.5,65.5,463.651,5,0
2613,971075642,374529,11704,43.45,58.5,65.5,459.75,5,0
2623,974819526,373813,11681.6,43.45,58.5,65.5,476.443,5,0
